n_col_extra,iteration,model,percision,recall
3,9,svm-rbf-approx,0.48793416614152796,0.52652
3,9,LOF-minkowski,0.9919325432999089,0.87052
3,9,LOF-euclidean,0.9919325432999089,0.87052
3,9,LOF-cosine,0.9518691947493667,0.992
4,0,svm-linear,0.41034251175285424,0.31772
4,0,svm-poly,0.4463035420098847,0.69352
4,0,svm-rbf,0.6624736265790668,0.9922
4,0,svm-sigmoid,0.49495072888671715,0.4862
4,0,svm-rbf-approx,0.530726872246696,0.77104
4,0,LOF-minkowski,0.9915055653192736,0.8124
4,0,LOF-euclidean,0.9915055653192736,0.8124
4,0,LOF-cosine,0.9429896241115883,0.99244
4,1,svm-linear,0.5275696445725264,0.43936
4,1,svm-poly,0.40932642487046633,0.59724
4,1,svm-rbf,0.6641589247945169,0.99228
4,1,svm-sigmoid,0.5028664057249042,0.50876
4,1,svm-rbf-approx,0.4985148912258168,0.4968
4,1,LOF-minkowski,0.9937688541615153,0.8038
4,1,LOF-euclidean,0.9937688541615153,0.8038
4,1,LOF-cosine,0.9448893974065599,0.991
4,2,svm-linear,0.46540158553646377,0.51896
4,2,svm-poly,0.40966935738703286,0.57044
4,2,svm-rbf,0.663656523016912,0.9936
4,2,svm-sigmoid,0.50541459791235,0.51712
4,2,svm-rbf-approx,0.4988991787524026,0.57104
4,2,LOF-minkowski,0.9932408925997713,0.7994
4,2,LOF-euclidean,0.9932408925997713,0.7994
4,2,LOF-cosine,0.9403506109129544,0.99128
4,3,svm-linear,0.6978103170338528,0.41556
4,3,svm-poly,0.41173316778599245,0.58364
4,3,svm-rbf,0.6680746879035729,0.99324
4,3,svm-sigmoid,0.5014974244299805,0.50236
4,3,svm-rbf-approx,0.498393818371245,0.45924
4,3,LOF-minkowski,0.9913307984790874,0.78216
4,3,LOF-euclidean,0.9913307984790874,0.78216
4,3,LOF-cosine,0.9461403106112769,0.98936
4,4,svm-linear,0.4059616536848412,0.54204
4,4,svm-poly,0.4194539152976979,0.59544
4,4,svm-rbf,0.6645164743984369,0.99308
4,4,svm-sigmoid,0.5013400536021441,0.50132
4,4,svm-rbf-approx,0.43006697444567266,0.26456
4,4,LOF-minkowski,0.9917434715821812,0.8264
4,4,LOF-euclidean,0.9917434715821812,0.8264
4,4,LOF-cosine,0.9456119607917922,0.99172
4,5,svm-linear,0.3841354723707665,0.29308
4,5,svm-poly,0.4633449050439044,0.72608
4,5,svm-rbf,0.6669442578912022,0.99308
4,5,svm-sigmoid,0.49739791833466773,0.497
4,5,svm-rbf-approx,0.49690737590845835,0.51416
4,5,LOF-minkowski,0.9919726475397651,0.80076
4,5,LOF-euclidean,0.9919726475397651,0.80076
4,5,LOF-cosine,0.9456476070432757,0.99032
4,6,svm-linear,0.5252669574372086,0.5588
4,6,svm-poly,0.40486150367439233,0.57296
4,6,svm-rbf,0.6665502699508448,0.9926
4,6,svm-sigmoid,0.5005647438483259,0.49636
4,6,svm-rbf-approx,0.49772027110289585,0.48468
4,6,LOF-minkowski,0.9921855921855922,0.8126
4,6,LOF-euclidean,0.9921855921855922,0.8126
4,6,LOF-cosine,0.9437728102189781,0.993
4,7,svm-linear,0.2456707897240723,0.15492
4,7,svm-poly,0.42619565516671715,0.61916
4,7,svm-rbf,0.6654245194498807,0.99284
4,7,svm-sigmoid,0.49726203897568044,0.494
4,7,svm-rbf-approx,0.49986361688033354,0.51312
4,7,LOF-minkowski,0.9915679772619611,0.83728
4,7,LOF-euclidean,0.9915679772619611,0.83728
4,7,LOF-cosine,0.9483187330247503,0.9916
4,8,svm-linear,0.5100296379021519,0.47496
4,8,svm-poly,0.4209497527883178,0.58576
4,8,svm-rbf,0.6656114181466974,0.9924
4,8,svm-sigmoid,0.5029100843330562,0.50808
4,8,svm-rbf-approx,0.5002641739483845,0.49236
4,8,LOF-minkowski,0.9916901475715173,0.8306
4,8,LOF-euclidean,0.9916901475715173,0.8306
4,8,LOF-cosine,0.9423485653560042,0.99316
4,9,svm-linear,0.49179185380207524,0.50808
4,9,svm-poly,0.423553036971831,0.61588
4,9,svm-rbf,0.6605394764843584,0.99324
4,9,svm-sigmoid,0.5012280066030519,0.49796
4,9,svm-rbf-approx,0.49683711122825513,0.4524
4,9,LOF-minkowski,0.9918832785579126,0.79676
4,9,LOF-euclidean,0.9918832785579126,0.79676
4,9,LOF-cosine,0.9412879505742334,0.99336
5,0,svm-linear,0.4498835691803782,0.70324
5,0,svm-poly,0.435320495911369,0.66012
5,0,svm-rbf,0.6619835153072148,0.98948
5,0,svm-sigmoid,0.4974743425272611,0.49636
5,0,svm-rbf-approx,0.5111404354666802,0.40284
5,0,LOF-minkowski,0.9928652672939716,0.76816
5,0,LOF-euclidean,0.9928652672939716,0.76816
5,0,LOF-cosine,0.9411451600638735,0.99016
5,1,svm-linear,0.49060411566201284,0.59316
5,1,svm-poly,0.447487444157718,0.64508
5,1,svm-rbf,0.6639978506179474,0.98856
5,1,svm-sigmoid,0.498860136783586,0.49892
5,1,svm-rbf-approx,0.4976410571132676,0.51896
5,1,LOF-minkowski,0.9919068190517855,0.72556
5,1,LOF-euclidean,0.9919068190517855,0.72556
5,1,LOF-cosine,0.944004266341612,0.99128
5,2,svm-linear,0.4945770065075922,0.52896
5,2,svm-poly,0.4447496302556518,0.6736
5,2,svm-rbf,0.6616565483672542,0.9896
5,2,svm-sigmoid,0.5000795228628231,0.50308
5,2,svm-rbf-approx,0.4470891716011022,0.30504
5,2,LOF-minkowski,0.9927422723475355,0.76052
5,2,LOF-euclidean,0.9927422723475355,0.76052
5,2,LOF-cosine,0.9384889090771443,0.99172
5,3,svm-linear,0.4965475726780213,0.56092
